index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Iros Torch	10	0		1					1		3	2	wnd	Wand		5	5000	cred			invwndu				nec		1	2	heal-kill		3	9	extra-mag		5	9	light		3	3	enr		10	15	regen-mana		5	20	ease		50	50																						0
Maelstromwrath	11	0		1					1		9	6	ywn	Yew Wand		5	5000	dblu	dblu						nec		1	1	hp		10	25	res-ltng		40	40	mana		13	13	cast2		30	30	skill	74	1	3	skill	77	1	3	skill	66	1	3	skill	76	1	3	ease		50	50										0
Gravenspine	12	0		1					1		13	9	bwn	Bone Wand		5	5000	cgrn			invbwnu				str		10	10	dex		10	10	res-cold		5	25	res-pois		5	25	res-pois-len		25	50	mana-kill		5	5	nec		1	2	mana		25	50	ease		50	50														0
Umes Lament	13	0		1					1		18	13	gwn	Grim Wand		5	5000	lblu	lblu						nec		2	2	mana		40	40	cast2		10	30	gethit-skill	Terror	5	5	skill	77	3	3	skill	87	2	2	ease		50	50																						0
Felloak	14	0		1					1		1	1	clb	Club		5	5000	lgry			invclbu				res-ltng		60	60	res-fire		20	20	knock		1	1	fire-min		12	20	fire-max		22	40	dmg%		100	120	ease		50	50																						0
Knell Striker	15	0		1					1		3	2	scp	Scepter		5	5000	dred	dred						crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	45	att		35	90	dmg%		120	155	ease		50	50																						0
Rusthandle	16	0		1					1		11	8	gsc	Grand Scepter		5	5000	lgld	lgld						pal		1	1	dmg-norm		5	12	red-mag		3	8	lifesteal		8	8	dmg%		100	130	dmg-undead		50	100	skill	111	1	3	skill	103	3	3	ease		50	50														0
Stormeye	17	0		1					1		15	11	wsp	War Scepter		5	5000	cred	cred						dmg-ltng		1	6	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	110	3	5	skill	118	3	3	skill	121	1	1																						0
Stoutnail	18	0		1					1		3	2	spc	Spiked Club		5	5000	dgry			invspcu				thorns		10	16	dmg%		140	140	vit		7	15	red-mag		6	10	ease		50	50																														0
Crushflange	19	0		1					1		5	4	mac	Mace		5	5000	blac	blac						str		10	25	knock		1	1	light		4	4	res-fire		50	50	dmg%		100	140	crush		33	33	ease		50	50																						0
Bloodrise	20	0		1					1		9	7	mst	Morning Star		5	5000	lblu			invmstu				dmg%		120	120	att%		100	100	openwounds		15	25	light		5	5	swing2		10	30	oskill	Zeal	3	3	lifesteal		5	5	ease		50	50																		0
The Generals Tan Do Li Ga	21	0		1					1		13	10	fla	Flail		5	5000	dblu	dblu						dmg-min		1	15	dmg-max		20	40	slow		35	50	ac		25	80	manasteal		5	5	dmg%		100	175	swing2		20	40	ease		50	50																		0
Ironstone	22	0		1					1		17	13	whm	War Hammer		5	5000	cblu	cblu						att		150	150	dmg%		125	200	ltng-min		1	11	ltng-max		15	35	str		5	20	enr		-5	-20	ease		50	50																						0
Bonesob	23	0		1					1		15	11	mau	Maul		5	5000	lred			invmauu				dmg%		200	300	crush		20	40	res-fire		30	30	res-cold		30	30	dmg-undead		50	50	swing2		-10	30	ease		50	50																						0
Steeldriver	24	0		1					1		19	14	gma	Great Maul		5	5000	cgrn	cgrn		invgma				ease		50	50	swing2		40	40	regen-stam		25	50	dmg%		175	250	dmg-max		20	50																														0
Rixots Keen	25	0		1					1		1	0	ssd	Short Sword		5	5000	blac	blac						dmg-min		5	15	att%		20	80	light		5	5	crush		25	25	ac		25	60	dmg%		100	185	ease		50	50																						0
Blood Crescent	26	0		1					1		4	3	scm	Scimitar		5	5000	lblu			invscmu				res-all		10	15	dmg%		110	190	hp		15	30	light		4	4	openwounds		15	33	swing2		15	40	heal-kill		5	12	ease		50	50																		0
Krintizs Skewer	27	0		1					1		6	4	sbr	Saber		5	5000	cblu			inv9sbu				ignore-ac		1	1	str		10	15	dex		10	20	mana-kill		7	7	dmg%		100	150	dmg-min		5	10	dmg-max		15	20	ease		50	50																		0
Gleamscythe	28	0		1					1		8	6	flc	Falchion		5	5000	lred			invflcu				light		5	5	manasteal		15	15	ac		30	70	swing2		20	30	dmg%		140	190	dmg-cold	50	13	25	allskills		1	1	ease		50	50																		0
Azure Thread	29	0		1					1		8	6	crs	Crystal Sword		5	5000	lgry			invcrsu				deadly		50	50	mag%		0	30	dmg-cold	100	13	40	dmg%		100	200	dur		25	25	dmg-mag		13	40	ease		50	50																						0
Griswolds Edge	30	0		1					1		11	8	bsd	Broad Sword		5	5000	cred			invbsdu				fire-min		20	24	fire-max		30	50	att		100	150	swing2		10	30	knock		1	1	dmg%		120	195	str		12	30	ease		50	50																		0
Hellplague	31	0		1					1		14	10	lsd	Long Sword		5	5000	dred			invlsdu				manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		75	75	dmg%		100	210	dmg-fire		25	75	fireskill		1	3	ease		50	50														0
Culwens Point	32	0		1					1		19	14	wsd	War Sword		5	5000	whit	whit						allskills		1	2	res-pois-len		25	50	balance2		16	48	swing2		10	30	att		60	120	dmg%		150	160	ease		50	50																						0
Shadowfang	33	0		1					1		7	5	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		140	160	lifesteal		9	9	ease		50	50																						0
Soulflay	34	0		1					1		12	9	clm	Claymore		5	5000	dgrn	dgrn						manasteal		4	10	lifesteal		4	10	dmg%		90	160	res-all		5	15	swing2		20	30	ease		50	50																										0
Kinemils Awl	35	0		1					1		15	11	gis	Giant Sword		5	5000	dblu			invgisu				att		150	150	mana-kill		10	20	fire-min		15	35	fire-max		40	60	dmg%		120	180	oskill	102	6	6	ease		50	50																						0
Blacktongue	36	0		1					1		17	12	bsw	Bastard Sword		5	5000	lgrn			invbswu				dmg-pois	75	192	192	noheal		1	1	att		100	150	res-pois		25	35	dmg%		120	190	hp		-30	-10	ease		50	50																						0
Ripsaw	37	0		1					1		17	12	flb	Flamberge		5	5000	cblu	cblu						openwounds		40	80	dmg-max		15	40	manasteal		6	6	dmg%		100	175	deadly		5	25	swing2		10	40	ease		50	50																						0
The Patriarch	38	0		1					1		19	14	gsd	Great Sword		5	5000	cred			invgsdu				red-dmg		8	12	red-mag		8	12	stupidity		1	1	ac		100	100	dmg%		175	250	str		10	30	swing2		30	30	ease		100	100																		0
Gull	39	0		1					1		2	1	dgr	Dagger		5	5000	lgry	lgry						dmg-min		1	1	dmg-max		15	15	mag%		50	175	mana		-50	-50	cast2		-30	-30	hp		-50	-50	ease		50	50																						0
The Diggler	40	0		1					1		7	5	dir	Dirk		5	5000	dgry	dgry						dex		25	25	dmg%		100	100	swing2		20	40	res-cold		25	25	res-fire		25	25	ignore-ac		1	1	openwounds		50	50	ease		50	50																		0
The Jade Tan Do	41	0		1					1		12	9	kri	Kris		5	5000	oran			invkrsu				att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		25	75	res-pois-max		50	50	pierce-pois		25	25	swing2		40	40	ease		50	50																		0
Irices Shard	42	0		1					1		16	12	bld	Blade		5	5000	dblu	dblu						cast3		20	50	mana		50	50	heal-kill		5	10	res-all		10	30	ease		50	50																														0
The Dragon Chang	43	0		1					1		5	3	spr	Spear		5	5000	dpur	dpur						att		60	100	dmg-min		10	20	dmg-max		25	30	dmg-undead		100	200	fire-min		6	12	fire-max		15	35	openwounds		12	15	dmg%		100	160	ease		50	50														0
Razortine	44	0		1					1		7	5	tri	Trident		5	5000	oran			invtriu				slow		25	25	reduce-ac		50	50	str		15	15	dex		16	30	swing2		20	40	dmg%		130	150	openwounds		12	15	ease		50	50																		0
Bloodthief	45	0		1					1		11	8	brn	Brandistock		5	5000	whit	whit						openwounds		35	35	str		10	20	lifesteal		8	12	hp		26	52	dmg%		150	170	ease		50	50																										0
Lance of Yaggai	46	0		1					1		14	10	spt	Spetum		5	5000	lred	lred						thorns		8	20	ltng-min		1	25	ltng-max		60	80	res-all		10	20	swing2		30	40	dmg%		135	180	ease		50	50																						0
The Tannr Gorerod	47	0		1					1		17	13	pik	Pike		5	5000	lgry	lgry						fire-min		23	23	fire-max		54	54	res-fire-max		5	15	hp		30	60	att		100	150	light		5	5	res-fire		15	15	dmg%		150	200	openwounds		12	15	ease		50	50										0
Dimoaks Hew	48	0		1					1		5	3	bar	Bardiche		5	5000	blac	blac						dex		15	15	dmg%		100	210	swing2		20	40	ac		-8	-30	slow		10	10	ease		50	50																										0
Steelgoad	49	0		1					1		9	6	vou	Voulge		5	5000	cgrn	cgrn						howl		96	96	deadly		30	30	att		80	110	res-all		5	15	dmg%		160	180	dur		40	40	slow		10	10	ease		50	50																		0
Soul Harvest	50	0		1					1		12	9	scy	Scythe		5	5000	dgry			invscyu				slow		30	30	att		145	175	res-all		10	20	dmg%		160	200	manasteal		8	15	enr		15	20	heal-kill		5	15	ease		50	50																		0
The Battlebranch	51	0		1					1		16	12	pax	Poleaxe		5	5000	lblu	lblu						swing3		30	40	dex		10	30	dmg%		150	170	att%		50	200	lifesteal		7	10	slow		10	10	ease		50	50																						0
Woestave	52	0		1					1		18	13	hal	Halberd		5	5000	dblu	dblu						slow		50	50	openwounds		25	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-4	-3	noheal		1	1	dmg%		160	180	ease		50	50														0
The Grim Reaper	53	0		1					1		19	14	wsc	War Scythe		5	5000	lpur	lpur						deadly		25	100	noheal		1	1	manasteal		5	15	dmg%		190	260	dmg-min		15	30	hp		-50	-20	heal-kill		10	15	swing2		20	40	slow		10	10	ease		50	50										0
Bane Ash	54	0		1					1		3	2	sst	Short Staff		5	5000	lgrn	lgrn						extra-fire		5	20	pierce-fire		15	20	res-fire		25	50	mana		30	50	cast2		20	30	regen-mana		50	50	skill	36	5	5	skill	37	2	2	ease		50	50														0
Serpent Lord	55	0		1					1		5	4	lst	Long Staff		5	5000	cgrn	cgrn						dmg-pois	50	80	80	res-pois-len		50	50	regen-mana		25	50	mana		10	40	dmg%		110	160	manasteal		30	50	reduce-ac		50	50	ease		50	50																		0
Lazarus Spire	56	0		1					1		11	8	cst	Gnarled Staff		5	5000	lgry			invcstu				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	53	1	1	skill	49	2	2	skill	42	3	3	regen-mana		43	43	pierce-ltng		15	15	sor		1	1	ease		50	50										0
The Salamander	57	0		1					1		13	10	bst	Battle Staff		5	5000	dred	dred						pierce-fire		15	15	res-fire		30	30	skill	51	1	1	skill	47	2	2	skill	37	3	3	fireskill		2	2	regen-mana		15	15	ease		50	50																		0
The Iron Jang Bong	58	0		1					1		18	13	wst	War Staff		5	5000	dyel	dyel						ac		30	80	cast3		20	30	regen-mana		60	60	red-mag		12	15	skill	48	2	2	skill	46	2	2	skill	44	3	3	sor		2	2	ease		50	50														0
Pluckeye	59	0		1					1		4	3	sbw	Short Bow		5	5000	cblu	cblu						att		60	100	dmg%		100	190	hp		10	30	light		5	5	manasteal		6	6	mana-kill		2	5	stupidity		3	3	hit-skill	Weaken	5	5	ease		50	50														0
Witherstring	60	0		1					1		8	6	hbw	Hunter\92s Bow		5	5000	lred	lred						swing3		30	30	dmg-min		9	15	dmg-max		16	25	att		50	150	oskill	Magic Arrow	3	6	dmg%		140	150																										0
Rimeraven	61	0		1					1		9	7	lbw	Long Bow		5	5000	dred	dred						att%		50	75	dex		9	30	skill	Exploding Arrow	3	6	str		9	30	dmg%		160	170	hit-skill	Weaken	5	5	ease		50	50																						0
Piercerib	62	0		1					1		13	9	cbw	Composite Bow		5	5000	cred			invcbwu				pierce		10	30	openwounds		30	30	att		60	160	dmg-undead		100	150	dmg%		150	190	swing2		50	50	hit-skill	Weaken	5	5	ease		50	50																		0
Pullspite	63	0		1					1		16	12	sbb	Short Battle Bow		5	5000	lgrn			invsbbu				ltng-min		1	30	ltng-max		32	50	att		120	180	pierce		25	25	res-ltng		10	25	dmg%		170	190	hit-skill	Weaken	5	5	ease		50	50																		0
Wizendraw	64	0		1					1		17	12	lbb	Long Battle Bow		5	5000	dgrn	dgrn						skill	Ice Arrow	3	6	mana		30	30	swing2		20	40	res-cold		10	30	att		75	150	dmg%		170	200	enr		-15	15	pierce-cold		20	35	hit-skill	Weaken	5	5	ease		50	50										0
Hellclap	65	0		1					1		17	13	swb	Short War Bow		5	5000	cgrn			invswbu				swing2		10	40	fire-min		15	30	fire-max		40	50	att%		50	100	res-fire		20	40	dex		12	24	dmg%		170	220	fireskill		1	3	hit-skill	Weaken	5	5	ease		50	50										0
Blastbark	66	0		1					1		18	13	lwb	Long War Bow		5	5000	lyel	lyel						dmg%		170	230	str		5	25	ama		1	3	manasteal		3	5	skill	16	2	4	hit-skill	Weaken	5	5	ease		50	50																						0
Leadcrow	67	0		1					1		5	4	lxb	Light Crossbow		5	5000	dyel			invlxbu				dex		10	20	ac		30	50	dmg%		150	150	res-pois		15	30	deadly		25	25	att		60	120	dmg-ac		-25	-25	ease		50	50																		0
Ichorsting	68	0		1					1		11	8	mxb	Crossbow		5	5000	lgld			invmxbu				dmg-pois	50	140	140	dex		20	20	pierce		50	50	att		50	150	dmg%		125	175	swing2		20	40	dmg-ac		-25	-25	ease		50	50																		0
Hellcast	69	0		1					1		17	13	hxb	Heavy Crossbow		5	5000	dgld			invhxbu				oskill	Exploding Arrow	5	5	res-fire-max		5	15	res-fire		15	25	att		170	170	swing2		20	40	dmg%		180	220	dmg-fire		30	45	dmg-ac		-25	-25	ease		50	50														0
Doomspittle	70	0		1					1		18	13	rxb	Repeating Crossbow		5	5000	lpur			invrxbu				ama		1	3	pierce		30	50	swing3		40	40	hp		15	60	dmg%		160	200	dmg-ac		-25	-25	ease		50	50																						0
War Bonnet	71	0		1					1		1	1	cap	Cap		5	5000	dpur			invcapu				hp		15	15	att		30	30	dmg%		10	40	mana		15	15	ac		14	30	ac-miss		20	20	ease		50	50																						0
Tarnhelm	72	0		1					1		9	7	skp	Skull Cap		5	5000	oran	oran						gold%		50	100	mag%		10	60	allskills		1	1	ac%		40	75	ac-miss		20	20	ease		50	50																										0
Coif of Glory	73	0		1					1		9	6	hlm	Helm		5	5000	whit			invhlmu				light-thorns		7	15	stupidity		1	1	res-ltng		10	30	ac-miss		100	20	ac		10	45	ease		50	50																										0
Duskdeep	74	0		1					1		11	8	fhl	Full Helm		5	5000	lgry			invfhlu				light		-2	3	res-all		10	20	red-dmg		7	15	dmg-max		8	15	ac		10	50	ac%		50	100	ease		50	50																						0
Wormskull	75	0		1					1		13	10	bhm	Bone Helm		5	5000	lgrn			invbhmu				nec		1	2	heal-kill		3	8	mana		10	30	res-pois-len		25	25	dmg-pois	100	102	102	pierce-pois		5	15	ac-miss		20	20	ease		50	50																		0
Howltusk	76	0		1					1		16	12	ghm	Great Helm		5	5000	dgry	dgry						red-mag		2	8	thorns		6	15	ac%		80	120	dmg-to-mana		20	40	knock		1	1	howl		33	66	ac-miss		20	20	ease		50	50																		0
Undead Crown	77	0		1					1		19	14	crn	Crown		5	5000	blac	blac						heal-kill		5	5	ac		40	50	res-pois-len		25	50	half-freeze		1	1	ac%		60	100	dmg-undead		50	100	att-undead		50	100	oskill	Raise Skeleton	3	3	oskill	Skeleton Mastery	3	3	ac-miss		20	20	ease		50	50						0
The Face of Horror	78	0		1					1		13	9	msk	Mask		5	5000	lblu	lblu						howl		64	64	str		10	30	res-all		10	15	dmg-undead		50	150	ac		25	80	ac-miss		20	20	gethit-skill	Terror	5	3	ease		50	50																		0
Greyform	79	0		1					1		4	3	qui	Quilted Armor		5	5000	lgry	lgry						red-mag		3	8	res-cold		30	40	res-fire		10	20	dex		10	30	lifesteal		5	5	ac		20	50	ease		50	50																						0
Blinkbats Form	80	0		1					1		7	5	lea	Leather Armor		5	5000	dred	dred						ac-miss		50	50	move2		10	10	ac		25	50	extra-fire		5	10	pierce-fire		6	10	balance2		24	48	res-fire		10	15	ease		50	50																		0
The Centurion	81	0		1					1		9	6	hla	Hard Leather		5	5000	cred	cred						ac%		60	120	att		50	125	red-dmg		8	15	hp		15	25	mana		15	25	stam		15	30	regen		5	9	stamdrain		25	50	ease		50	50														0
Twitchthroe	82	0		1					1		10	7	stu	Studded Leather		5	5000	lgrn	lgrn						swing2		10	20	dex		10	25	block		10	30	ac		25	80	str		10	25	balance2		24	48	ease		50	50																						0
Darkglow	83	0		1					1		9	6	rng	Ring Mail		5	5000	dgrn	dgrn						att%		20	50	res-all-max		5	10	light		3	5	ac-hth		50	50	res-all		10	15	ac%		70	130	ease		50	50																						0
Hawkmail	84	0		1					1		9	7	scl	Scale Mail		5	5000	cgrn	cgrn						ac%		100	140	res-cold		10	15	move2		10	30	nofreeze		1	1	red-mag		8	15	ease		50	50																										0
Sparking Mail	85	0		1					1		11	8	chn	Chain Mail		5	5000	lyel	lyel						ac%		100	150	dmg-ltng		10	30	light-thorns		10	14	res-ltng		15	30	red-dmg%		3	8	ease		50	50																										0
Venomsward	86	0		1					1		13	9	brs	Breast Plate		5	5000	dyel	dyel						res-pois-max		10	15	res-pois-len		25	50	res-pois		40	60	red-dmg%		3	8	ac%		110	150	ease		50	50																										0
Iceblink	87	0		1					1		14	10	spl	Splint Mail		5	5000	lgld	lgld						freeze		3	3	res-cold		15	30	light		4	4	red-mag		1	1	ac%		110	150	red-dmg%		3	8	ease		50	50																						0
Boneflesh	88	0		1					1		17	12	plt	Plate Mail		5	5000	dgld	dgld						demon-heal		5	8	ac%		115	160	att		35	85	openwounds		10	15	red-dmg%		6	10	ease		50	50																										0
Rockfleece	89	0		1					1		18	13	fld	Field Plate		5	5000	dgry	dgry						ease		50	50	ac%		100	200	red-dmg%		10	20	red-dmg		5	8	str		5	15	res-cold		15	30																										0
Rattlecage	90	0		1					1		19	14	gth	Gothic Plate		5	5000	dpur	dpur						howl		52	52	att		45	200	crush		10	25	ac		150	200	balance2		16	24	red-dmg%		8	15	ease		50	50																						0
Goldskin	91	0		1					1		18	13	ful	Full Plate Mail		5	5000	oran			invfulu				ac%		120	225	res-all		20	35	thorns		10	20	light		2	2	gold%		100	100	mag%		0	50	red-dmg%		8	15	ease		50	50																		0
Victors Silk	92	0		1					1		18	13	aar	AncientArmor		5	5000	dblu			invaaru				mana-kill		5	15	allskills		1	1	light		5	5	ac%		100	150	red-dmg%		10	15	ease		50	50																										0
Heavenly Garb	93	0		1					1		19	14	ltp	Light Plate		5	5000	cblu	cblu						mana%		10	30	res-all		10	15	regen-mana		25	60	enr		15	30	dmg-undead		50	50	att-undead		100	100	red-dmg%		8	10	red-mag		8	10	ease		50	50														0
Pelta Lunata	94	0		1					1		1	0	buc	Buckler		5	5000	whit			invbucu				ac		30	50	all-stats		5	20	ac%		30	40	block		20	20	block2		40	40	dur		8	12	ac-hth		20	20	ease		50	50																		0
Umbral Disk	95	0		1					1		5	4	sml	Small Shield		5	5000	lgry			invsmlu				stupidity		3	3	dex		10	15	ac		30	50	hp		20	40	light		-2	4	ac%		50	85	block		30	30	dur		10	15	ac-hth		20	20	ease		50	50										0
Stormguild	96	0		1					1		8	6	lrg	Large Shield		5	5000	dgry			invlrgu				red-mag		3	8	res-ltng		15	25	ac		35	60	dmg-ltng		1	31	ac%		60	100	block		30	30	light-thorns		3	9	dur		10	15	ac-hth		20	20	ease		50	50										0
Wall of the Eyeless	97	0		1					1		13	9	bsh	Bone Shield		5	5000	lgld			invbshu				mana-kill		5	10	manasteal		3	6	cast2		20	40	res-pois		20	20	ac%		60	110	ac		20	50	ac-hth		20	20	ease		50	50																		0
Swordback Hold	98	0		1					1		9	7	spk	Spiked Shield		5	5000	lred			invspku				thorns		10	25	block		20	20	openwounds		25	40	bloody		3	5	ac%		60	140	ac		10	50	ac-hth		20	20	ease		50	50																		0
Steelclash	99	0		1					1		11	8	kit	Kite Shield		5	5000	blac			invkitu				block		15	40	pal		1	1	red-dmg		3	9	light		3	5	ac%		85	160	block2		10	40	res-all		5	20	ac		20	80	dur		15	20	ac-hth		20	20	ease		50	50						0
Bverrit Keep	100	0		1					1		12	9	tow	Tower Shield		5	5000	lblu			invtowu				ac		50	90	res-fire		20	50	str		15	30	red-mag		5	20	ac%		100	180	block		10	30	dur		80	100	ac-hth		20	20	ease		50	50														0
The Ward	101	0		1					1		17	12	gts	Gothic Shield		5	5000	dblu			invgtsu				ac		40	80	red-mag		5	10	str		10	30	block		10	30	ac%		100	200	res-all		20	30	ac-hth		20	20	ease		50	50																		0
The Hand of Broc	102	0		1					1		3	2	lgl	Gloves		5	5000	cblu	cblu						mana-kill		3	5	heal-kill		3	5	res-pois		10	30	mana		20	30	ac		15	30	ac%		40	100	swing2		5	10	ease		50	50																		0
Bloodfist	103	0		1					1		5	4	vgl	Heavy Gloves		5	5000	oran	oran						dmg-min		5	10	hp		40	60	balance2		16	36	ac		10	30	ac%		30	90	swing2		5	20	ease		50	50																						0
Chance Guards	104	0		1					1		9	7	mgl	Bracers		5	5000	lred	lred						gold%		100	200	mag%		35	45	cast2		10	20	ac		15	45	light		5	5	ac%		50	85	ease		50	50																						0
Magefist	105	0		1					1		15	11	tgl	Light Gauntlets		5	5000	lgry	lgry						cast2		10	30	regen-mana		25	50	fireskill		0	2	red-mag		3	8	ac		20	30	ac%		60	90	ease		50	50																						0
Frostburn	106	0		1					1		19	14	hgl	Gauntlets		5	5000	dred	dred						ac		30	60	red-dmg%		5	5	mana%		20	40	extra-cold		3	10	ac%		35	90	ease		50	50																										0
Hotspur	107	0		1					1		3	2	lbt	Leather Boots		5	5000	cred	cred						res-fire-max		5	5	hp		15	40	extra-fire		3	6	ac		15	30	res-fire		15	30	ac%		40	80	BootsStam1		1	1	ease		50	50																		0
Gorefoot	108	0		1					1		5	4	vbt	Heavy Boots		5	5000	dblu	dblu						bloody		3	5	move2		20	20	mana-kill		2	6	thorns		2	10	ac		12	30	ac%		50	100	BootsStam1		1	1	ease		50	50																		0
Treads of Cthon	109	0		1					1		9	7	mbt	Chain Boots		5	5000	lgrn	lgrn						move2		20	30	ac-miss		50	50	stamdrain		50	50	hp		10	30	ac		25	50	ac%		30	80	BootsStam1		1	1	ease		50	50																		0
Goblin Toe	110	0		1					1		14	10	tbt	Light Plate Boots		5	5000	dgry	dgry						crush		10	20	red-dmg		5	8	red-mag		5	8	ac		15	25	light		-1	3	ac%		50	100	BootsStam1		1	1	ease		50	50																		0
Tearhaunch	111	0		1					1		19	14	hbt	Plate Boots		5	5000	dgrn	dgrn						ac		35	50	str		10	15	dex		10	15	move2		10	30	res-all		5	10	ac%		60	80	oskill	Vigor	2	2	BootsStam1		1	1	ease		50	50														0
Lenyms Cord	112	0		1					1		4	3	lbl	Sash		5	5000	cgrn	cgrn						mana		15	30	regen-mana		30	60	res-all		5	10	light		1	8	ac		5	40	balance2		8	16	BootsStam1		1	1	ease		50	50																		0
Snakecord	113	0		1					1		7	5	vbl	Light Belt		5	5000	blac	blac						dmg-pois	50	40	40	res-pois		25	25	ac		10	30	ac%		40	60	regen		3	8	res-pois-len		20	50	balance2		8	16	ease		50	50																		0
Nightsmoke	114	0		1					1		13	9	mbl	Belt		5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		50	50	mana		20	80	red-dmg		2	9	ac		20	35	ac%		60	100	balance2		8	16	ease		50	50																		0
Goldwrap	115	0		1					1		17	13	tbl	Heavy Belt		5	5000	lblu	lblu						mag%		15	35	light		2	6	ac		25	80	balance2		16	24	ac%		40	110	gold%		30	100	ease		50	50																						0
Bladebuckle	116	0		1					1		19	14	hbl	Girdle		5	5000	dyel	dyel						thorns		8	12	ac		30	50	red-dmg%		3	10	str		5	15	dex		10	15	ac%		100	120	balance2		24	48	ease		50	50																		0
Nokozan Relic	117	0		1					20		6	4	amu	Amulet		5	5000	lgld							extra-fire		3	6	res-fire-max		10	10	ResBalanceSocket		1	1	light		3	9																																		0
The Eye of Etlich	118	0		1					5		9	7	amu	Amulet		5	5000	dgld							ac-miss		20	55	light		1	5	allskills		1	1	heal-kill		3	8	extra-cold		3	5	pierce-cold		3	5	ResBalanceSocket		1	1																						0
The Mahim-Oak Curio	119	0		1					10		16	12	amu	Amulet		5	5000	lpur							all-stats		10	10	ac		10	10	att%		10	10	res-all		10	10	ac%		10	10	cast2		10	10	ResBalanceSocket		1	1																						0
Nagelring	120	0		1					15		4	3	rin	Ring		5	5000	dpur							red-mag		3	9	thorns		3	12	hp		20	35	mag%		10	35	SingleRes1		1	1																														0
Manald Heal	121	0		1					15		9	7	rin	Ring		5	5000	oran							manasteal		4	7	regen		5	8	hp		20	20	regen-mana		20	20	SingleRes1		1	1																														0
The Stone of Jordan	122	0		1					1		19	14	rin	Ring		5	5000	whit							hp		20	20	mana%		15	25	light-thorns		3	8	allskills		1	1	SingleRes1		1	1																													1	0
