Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
BlankM	1	1	1	35		26				4	1	red-dmg		4	4									dblu	amul	circ											0	0
BlankM	100	1		45		37				4	1	red-dmg		10	25										amul	circ											0	0
BlankM	1	1	1	24		18				4	1	red-dmg		2	2										tors	shld	circ										0	0
BlankM	1	1	1	32		24				4	1	red-dmg		3	3										tors	shld	circ										0	0
BlankM	1	1	1	41		33				4	1	red-dmg		4	7										tors	shld	circ										0	0
BlankM	100	1		51		43				4	1	red-dmg		8	15										tors	shld	circ										0	0
BlankM	1	1	1	7		5				4	2	red-mag		1	1										tors	shld	ring	amul	orb	circ							0	0
BlankM	1	1	1	18		12				4	2	red-mag		2	2										ring	amul	orb	circ									0	0
BlankM	1	1	1	26		19				4	2	red-mag		3	3										amul	orb	circ										0	0
BlankM	100	1		42		35				4	2	red-mag		4	6										amul	orb	circ										0	0
BlankM	1	1	1	24		18				4	2	red-mag		2	2										tors	shld	circ										0	0
BlankM	1	1	1	32		24				4	2	red-mag		3	3										tors	shld	circ										0	0
BlankM	100	1		41		33				4	2	red-mag		4	6										tors	shld	circ										0	0
BlankM	100		1	11		8				1	3	abs-fire		2	2										tors	shld	boot	circ									0	0
BlankM	100		1	19		14				1	3	abs-fire		3	3										tors	shld	boot	circ									0	0
BlankM	100		1	28		21				1	3	abs-fire		4	5										tors	shld	boot	circ									0	0
BlankM	100			38		30				1	3	abs-fire		6	8										tors	shld	boot	circ									0	0
BlankM	100		1	13		9				1	3	abs-fire		2	2										ring	amul	orb	circ									0	0
BlankM	100		1	22		16				1	3	abs-fire		3	3										amul	orb	circ										0	0
BlankM	100		1	33		25				1	3	abs-fire		4	5										amul	orb	circ										0	0
BlankM	100			46		38				1	3	abs-fire		6	8										amul	orb	circ										0	0
BlankM	100		1	23		17				1	3	abs-fire		1	2										jewl												0	0
BlankM	100		1	11		8				1	3	abs-ltng		2	2										tors	shld	boot	circ									0	0
BlankM	100		1	19		14				1	3	abs-ltng		3	3										tors	shld	boot	circ									0	0
BlankM	100		1	28		21				1	3	abs-ltng		4	5										tors	shld	boot	circ									0	0
BlankM	100			38		30				1	3	abs-ltng		6	8										tors	shld	boot	circ									0	0
BlankM	100		1	13		9				1	3	abs-ltng		2	2										ring	amul	orb	circ									0	0
BlankM	100		1	22		16				1	3	abs-ltng		3	3										amul	orb	circ										0	0
BlankM	100		1	33		25				1	3	abs-ltng		4	5										amul	orb	circ										0	0
BlankM	100			46		38				1	3	abs-ltng		6	8										amul	orb	circ										0	0
BlankM	100		1	22		16				1	3	abs-ltng		1	2										jewl												0	0
BlankM	100		1	11		8				1	3	abs-cold		2	2										tors	shld	boot	circ									0	0
BlankM	100		1	19		14				1	3	abs-cold		3	3										tors	shld	boot	circ									0	0
BlankM	100		1	28		21				1	3	abs-cold		4	5										tors	shld	boot	circ									0	0
BlankM	100			38		30				1	3	abs-cold		6	8										tors	shld	boot	circ									0	0
BlankM	100		1	13		9				1	3	abs-cold		2	2										ring	amul	orb	circ									0	0
BlankM	100		1	22		16				1	3	abs-cold		3	3										amul	orb	circ										0	0
BlankM	100		1	33		25				1	3	abs-cold		4	5										amul	orb	circ										0	0
BlankM	100			46		38				1	3	abs-cold		6	8										amul	orb	circ										0	0
BlankM	100		1	23		17				1	3	abs-cold		1	2										jewl												0	0
BlankM	1	1	1	25		18				2	4	ignore-ac		1	1										rod	knif	h2h										0	0
BlankM	100		1	16		12				4	5	dmg-ac		-25	-40										blun							wand	staf	orb			0	0
BlankM	100		1	6		4				4	5	dmg-ac		-10	-20										spea	knif	h2h										0	0
BlankM	1	1	1	14		10				4	6	thorns		1	3										tors	shld	belt	circ									0	0
BlankM	1	1	1	21		15				4	6	thorns		4	6									oran	tors	shld	belt	circ									0	0
BlankM	100	1	1	34		26				4	6	thorns		7	9									oran	tors	shld	circ										0	0
BlankM	100	1		47		39				4	6	thorns		10	20									oran	tors	shld	circ										0	0
BlankM	100	1	1	37		29				4	6	thorns		1	5										jewl												0	0
BlankM	1	1	1	5		3				6	7	swing1		10	10										weap							wand	orb				0	0
BlankM	1	1	1	25		17				6	7	swing2		20	20										weap							wand	orb				0	0
BlankM	1	1	1	34		26				6	7	swing2		30	30										mele							wand	staf	orb			0	0
BlankM	1	1	1	46		38				5	7	swing3		40	40									dyel	mele							wand	staf	orb			0	0
BlankM	100	1	1	43		35				4	7	swing2		20	20									dyel	glov												0	0
BlankM	100	1		39		31				4	7	swing1		15	15										jewl												0	0
BlankM	1	1	1	1		1				7	8	block		10	10	block2		15	15						shld												0	0
BlankM	1	1	1	11		8				6	8	block		20	20	block2		30	30						shld												0	0
BlankM	1	1	1	5		3				6	9	cast1		10	10										rod	ring	amul	orb	circ								0	0
BlankM	1	1	1	29		21				5	9	cast3		20	20										rod	orb	circ					scep					0	0
BlankM	1	1	1	4		3				5	10	cold-min		1	1	cold-max		1	2	cold-len		50	50		weap							wand	orb				0	0
BlankM	100	1	1	13		9				4	10	cold-min		1	1	cold-max		3	4	cold-len		75	75		weap							wand	orb				0	0
BlankM	1	1	1	27		20				3	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	dblu	weap							wand	orb				0	0
BlankM	100	1	1	45		37				2	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	dblu	mele							wand	orb				0	0
BlankM	1	1	1	55		41				2	10	cold-min		1	1	cold-max		3	6	cold-len		50	50		belt	amul											0	0
BlankM	100	1	1	16		12				2	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	dblu	jewl												0	0
BlankM	1	1	1	10		7				4	11	half-freeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
BlankM	1	1	1	4		3				5	12	fire-min		1	1	fire-max		2	5						weap							wand	orb				0	0
BlankM	1	1	1	15		11				4	12	fire-min		1	4	fire-max		6	11						weap							wand	orb				0	0
BlankM	1	1	1	25		18				3	12	fire-min		5	9	fire-max		10	20					dred	weap							wand	orb				0	0
BlankM	100	1	1	43		35				2	12	fire-min		10	20	fire-max		21	75					dred	mele							wand	orb				0	0
BlankM	100	1	1	40		30				2	12	fire-min		1	1	fire-max		2	6						glov	ring	amul										0	0
BlankM	100	1	1	15		11				2	12	fire-min		1	3	fire-max		6	10					dred	jewl												0	0
BlankM	1	1	1	4		3				5	13	ltng-min		1	1	ltng-max		6	8						weap							wand	orb				0	0
BlankM	1	1	1	15		11				4	13	ltng-min		1	1	ltng-max		9	16						weap							wand	orb				0	0
BlankM	1	1	1	25		18				3	13	ltng-min		1	1	ltng-max		17	40					dyel	weap							wand	orb				0	0
BlankM	100	1	1	34		26				2	13	ltng-min		1	6	ltng-max		41	120					dyel	mele							wand	orb				0	0
BlankM	100	1	1	50		37				2	13	ltng-min		1	1	ltng-max		11	23						boot	ring	amul										0	0
BlankM	100	1	1	15		11				2	13	ltng-min		1	1	ltng-max		10	20					dyel	jewl												0	0
BlankM	1	1	1	1		1				8	14	dmg-max		1	1										weap	ring	amul					wand	staf	orb			0	0
BlankM	1	1	1	4		3				8	14	dmg-max		2	2										weap							wand	staf	orb			0	0
BlankM	1	1	1	7		5				7	14	dmg-max		3	4										weap							wand	staf	orb			0	0
BlankM	1	1	1	11		8				7	14	dmg-max		5	7										weap							wand	staf	orb			0	0
BlankM	1	1	1	14		10				6	14	dmg-max		8	10										weap							wand	staf	orb			0	0
BlankM	1	1	1	19		14				6	14	dmg-max		11	14									blac	weap							wand	staf	orb			0	0
BlankM	1	1	1	25		18				5	14	dmg-max		15	20									blac	weap							wand	staf	orb			0	0
BlankM	100	1		35		27				5	14	dmg-max		21	40									blac	weap							wand	staf	orb			0	0
BlankM	100	1		45		37				4	14	dmg-max		41	63									blac	weap							wand	staf	orb			0	0
BlankM	1	1	1	42		34				4	14	dmg-max		3	4										shld	ring	amul										0	0
BlankM	100	1	1	1	7	1				4	14	dmg-max		1	2										circ												0	0
BlankM	100	1	1	8	14	6				4	14	dmg-max		2	3										circ												0	0
BlankM	100	1	1	15		11				4	14	dmg-max		4	5										circ												0	0
BlankM	100	1	1	23	29	17				4	14	dmg-max		6	7										circ												0	0
BlankM	100	1	1	30		22				4	14	dmg-max		7	8										circ												0	0
BlankM	100	1		37	44	29				4	14	dmg-max		9	10										circ												0	0
BlankM	100	1		45		37				4	14	dmg-max		11	12										circ												0	0
BlankM	100	0	1	8	17	6				4	14	dmg-max		1	1										mcha												0	0
BlankM	100	0	1	18		13				4	14	dmg-max		2	2										mcha												0	0
BlankM	100	0	1	28	37	21				4	14	dmg-max		3	4										mcha												0	0
BlankM	100	0	1	38		30				4	14	dmg-max		5	6										mcha												0	0
BlankM	100	0		48		40				4	14	dmg-max		7	8										mcha												0	0
BlankM	100	0	1	21		15				4	14	dmg-max		1	1										scha												0	0
BlankM	100	0	1	36		28				4	14	dmg-max		2	2										scha												0	0
BlankM	100	0		51		43				4	14	dmg-max		3	4										scha												0	0
BlankM	100	1	1	4		3				4	14	dmg-max		2	5										jewl												0	0
BlankM	100	1	1	11		8				4	14	dmg-max		6	9									blac	jewl												0	0
BlankM	100	1		25		18				4	14	dmg-max		11	15									blac	jewl													
BlankM	1	1	1	1		1				8	15	dmg-min		1	2										weap							staf	wand	orb			0	0
BlankM	1	1	1	12		9				7	15	dmg-min		3	4										weap							staf	wand	orb			0	0
BlankM	1	1	1	24		18				6	15	dmg-min		5	8										weap							staf	wand	orb			0	0
BlankM	1	1	1	48		40				5	15	dmg-min		9	14									blac	weap							staf	wand	orb			0	0
BlankM	100	1	1	76		68				4	15	dmg-min		15	20									blac	weap							staf	wand	orb			0	0
BlankM	1	1	1	15		11				4	15	dmg-min		2	3										ring	amul	circ										0	0
BlankM	1	1	1	37		29				4	15	dmg-min		4	5										ring	amul	circ										0	0
BlankM	1	1	1	59		51				4	15	dmg-min		6	9										ring	amul	circ										0	0
BlankM	100	1		81		73				4	15	dmg-min		10	13										ring	amul	circ										0	0
BlankM	100	1	1	5		3				4	15	dmg-min		1	4									whit	jewl												0	0
BlankM	100	1	1	43		37				4	15	dmg-min		5	10									whit	jewl												0	0
BlankM	1	1	1	5		3				5	16	dmg-pois	75	24	24										weap	circ						rod	orb				0	0
BlankM	1	1	1	15		11				4	16	dmg-pois	100	54	54										weap	circ						rod	orb				0	0
BlankM	1	1	1	25		18				3	16	dmg-pois	125	103	103									dgrn	weap	circ						rod	orb				0	0
BlankM	100	1	1	33		25				2	16	dmg-pois	150	171	171									dgrn	weap							rod	orb				0	0
BlankM	100	1	1	45		33				2	16	dmg-pois	75	171	171										ring	amul											0	0
BlankM	100	1	1	1		1				2	16	dmg-pois	50	103	103									dgrn	jewl												0	0
BlankM	1	1	1	1		1				4	17	dex		1	2										amul	miss	circ										0	0
BlankM	1	1	1	11		8				3	17	dex		3	5										amul	miss	circ										0	0
BlankM	1	1	1	27		20				3	17	dex		6	9										amul	miss	circ										0	0
BlankM	1	1	1	43		35				3	17	dex		10	15										amul	miss	circ										0	0
BlankM	1	1	1	59		51				3	17	dex		16	20									dgld	amul	miss	circ										0	0
BlankM	100	1		72		64				3	17	dex		21	30									dgld	amul	miss	circ										0	0
BlankM	1	1	1	6		4				4	17	dex		1	2										ring	glov											0	0
BlankM	1	1	1	22		16				3	17	dex		3	5										ring	glov											0	0
BlankM	1	1	1	39		31				3	17	dex		6	9										ring	glov											0	0
BlankM	1	1	1	56		48				3	17	dex		10	15										ring	glov											0	0
BlankM	100	1		75		67				3	17	dex		16	20									dgld	ring	glov											0	0
BlankM	1	1	1	13		9				3	17	dex		2	3										tors	boot						glov					0	0
BlankM	1	1	1	34		26				3	17	dex		4	5										tors	boot						glov					0	0
BlankM	1	1	1	46		38				3	17	dex		6	9										tors	boot						glov					0	0
BlankM	100	1		60		52				3	17	dex		10	15									dgld	tors	boot						glov					0	0
BlankM	100	1	1	1		1				4	31	dex		3	4										lcha												0	0
BlankM	100	1	1	3		2				4	31	dex		2	3										mcha												0	0
BlankM	100	1	1	7		5				4	31	dex		1	1										scha												0	0
BlankM	100	1	1	14		10				4	31	dex		5	6										lcha												0	0
BlankM	100	1	1	18		13				4	31	dex		4	5										mcha												0	0
BlankM	100	1	1	22		16				4	31	dex		2	2										scha												0	0
BlankM	100	1	1	7		5				3	17	dex		1	3										jewl												0	0
BlankM	1	1	1	5		3				4	18	balance1		10	10										armo							glov					0	0
BlankM	1	1	1	9		6				4	18	balance2		17	17										tors	belt	shld										0	0
BlankM	1	1	1	18		13				4	18	balance3		24	24									dyel	tors	belt											0	0
BlankM	100	1	1	1		1				4	18	balance3		12	12										lcha												0	0
BlankM	100	1	1	19		14				4	18	balance2		8	8										mcha												0	0
BlankM	100	1	1	37		29				4	18	balance1		5	5									dyel	scha												0	0
BlankM	100	1	1	44		36				4	18	balance1		7	7										jewl												0	0
BlankM	1	1	1	10		7				4	19	regen		3	5										scep	belt	ring	amul	circ								0	0
BlankM	1	1	1	40		30				4	19	regen		3	5										shld	glov											0	0
BlankM	1	1	1	70		52				4	19	regen		3	5										tors	weap	boot					scep					0	0
BlankM	1	1	1	17		12				4	19	regen		6	10									cred	scep	amul	circ										0	0
BlankM	1	1	1	55		41				4	19	regen		6	9									cred	belt	ring											0	0
BlankM	100	1		38		30				4	19	regen		11	15									cred	scep	amul	circ										0	0
BlankM	100	1	1	47		35				4	19	regen		1	4										jewl												0	0
BlankM	1	1	1	9		6				3	20	noheal		1	1										mele							rod	orb				0	0
BlankM	1	1	1	1		1				4	21	gold%		25	40										ring	amul	circ										0	0
BlankM	1	1	1	17		12				4	21	gold%		41	80									lgld	boot	glov	belt	amul	circ								0	0
BlankM	100	1	1	1		1				4	21	gold%		10	20										lcha												0	0
BlankM	100	1	1	7		5				4	21	gold%		21	30										lcha												0	0
BlankM	100	1	1	19		14				4	21	gold%		31	40										lcha												0	0
BlankM	100	1	1	1		5				4	21	gold%		5	10										mcha												0	0
BlankM	100	1	1	20		15				4	21	gold%		11	22										mcha												0	0
BlankM	100	1	1	1		15				4	21	gold%		5	10										scha												0	0
BlankM	100	1	1	1		1				4	21	gold%		10	30										jewl												0	0
BlankM	1	1	1	12		9				4	22	mag%		5	15										boot	glov	ring	amul	circ								0	0
BlankM	1	1	1	16		12				4	22	mag%		16	25									lgld	boot	glov	amul	circ									0	0
BlankM	1	1		42		31				4	22	mag%		16	25									lgld	ring												0	0
BlankM	100	1		26		19				4	22	mag%		26	35									lgld	boot	amul	circ										0	0
BlankM	100	1	1	31		18				3	22	mag%		3	5										scha												0	0
BlankM	100	1		47		33				2	22	mag%		6	7										scha												0	0
BlankM	100	1	1	26		19				2	22	mag%		5	10										jewl												0	0
BlankM	1	1	1	1		1				4	23	enr		1	3										amul	orb	circ	wand	staf								0	0
BlankM	1	1	1	7		3				4	23	enr		4	6										amul	orb	circ	wand	staf								0	0
BlankM	1	1	1	13		9				3	23	enr		7	10										amul	orb	circ	wand	staf								0	0
BlankM	1	1	1	21		16				3	23	enr		11	15										amul	orb	circ	wand	staf								0	0
BlankM	1	1	1	31		23				3	23	enr		16	20									dgld	amul	orb	circ	wand	staf								0	0
BlankM	100	1		41		33				3	23	enr		21	30									dgld	amul	orb	circ	wand	staf								0	0
BlankM	1	1	1	7		5				4	23	enr		1	3										ring												0	0
BlankM	1	1	1	13		9				3	23	enr		4	6										ring												0	0
BlankM	1	1	1	21		16				3	23	enr		7	10										ring												0	0
BlankM	1	1	1	31		23				3	23	enr		11	15										ring												0	0
BlankM	100	1		41		33				3	23	enr		16	20									dgld	ring												0	0
BlankM	1	1	1	4		3				3	23	enr		1	3										helm	scep											0	0
BlankM	1	1	1	10		7				3	23	enr		4	6										helm	scep											0	0
BlankM	1	1	1	16		12				3	23	enr		7	10										helm	scep											0	0
BlankM	100	1		26		21				3	23	enr		11	15									dgld	helm	scep											0	0
BlankM	100	1	1	9		6				3	23	enr		1	5										jewl												0	0
BlankM	1	1	1	8		6				3	24	knock		1	1										mele												0	0
BlankM	1	1	1	6		4				1	25	light		1	1	att		15	15						armo	rod	ring	amul									0	0
BlankM	1	1	1	15		11				1	25	light		3	3	att		30	30						rod	miss	ring	amul	helm								0	0
BlankM	1	1	1	17		12				1	25	light		5	5	att%		5	5						rod	miss	glov	ring	amul	helm							0	0
BlankM	1	1	1	1		1				3	26	hp		1	5										tors	belt	amul	phlm	circ								0	0
BlankM	1	1	1	7		5				3	26	hp		6	10										tors	belt	amul	phlm	circ								0	0
BlankM	1	1	1	15		11				3	26	hp		11	20										tors	belt	amul	phlm	circ								0	0
BlankM	1	1	1	20		15				3	26	hp		21	30										tors	belt	amul	phlm	circ								0	0
BlankM	1	1	1	25		18				3	26	hp		31	40									cred	tors	belt	amul	phlm	circ								0	0
BlankM	1	1	1	30		22				3	26	hp		41	60									cred	tors	belt	amul	phlm	circ								0	0
BlankM	100	1		40		30				3	26	hp		61	80									cred	tors	belt	amul	phlm	circ								0	0
BlankM	100	1		50		37				3	26	hp		81	100									cred	tors	belt	amul	phlm	circ								0	0
BlankM	100	1	1	4		3				3	26	hp		1	5										shld	pelt											0	0
BlankM	100	1	1	11		8				3	26	hp		6	10										shld	pelt											0	0
BlankM	100	1	1	27		20				3	26	hp		11	20										shld	pelt											0	0
BlankM	100	1	1	43		35				3	26	hp		21	30										shld	pelt											0	0
BlankM	100	1	1	59		51				3	26	hp		31	40									cred	shld	pelt											0	0
BlankM	100	1		75		67				3	26	hp		41	60									cred	shld	pelt											0	0
BlankM	1	1	1	8		6				3	26	hp		1	5										club	hamm	mace	ring	helm								0	0
BlankM	1	1	1	17		13				3	26	hp		6	10										club	hamm	mace	ring	helm								0	0
BlankM	1	1	1	34		26				3	26	hp		11	20										club	hamm	mace	ring	helm								0	0
BlankM	1	1	1	51		43				3	26	hp		21	30										club	hamm	mace	ring	helm								0	0
BlankM	1	1	1	68		60				3	26	hp		31	40									cred	club	hamm	mace	ring	helm								0	0
BlankM	100	1	1	1		1				4	26	hp		5	10										lcha												0	0
BlankM	100	1	1	9		6				4	26	hp		11	15										lcha												0	0
BlankM	100	1	1	19		14				4	26	hp		16	20										lcha												0	0
BlankM	100	1	1	31		23				4	26	hp		21	25										lcha												0	0
BlankM	100	1	1	45		37				4	26	hp		26	30										lcha												0	0
BlankM	100	1	1	61		53				4	26	hp		31	35										lcha												0	0
